adresse_id	client_fk	rue	npa	localite	zone_fk	latitude	longitude
1	1	Avenue d'Echallens 25	1005	Lausanne	1005	46.592187	6.550824
2	1	Avenue de Morges 36	1005	Lausanne	1005	46.577268	6.585441
3	2	Avenue de Sévelin 37	1008	Jouxtens-Mézery	1008	46.572605	6.583748
4	3	Rue de Genève 58	1007	Lausanne	1007	46.553858	6.534512
5	4	Avenue de Beaulieu 120	1022	Chavannes-près-Renens	1022	46.532178	6.518865
6	5	Rue du Nord 110	1022	Chavannes-près-Renens	1022	46.577554	6.504365
7	6	Avenue d'Echallens 85	1022	Chavannes-près-Renens	1022	46.579239	6.565202
8	7	Rue de Genève 65	1003	Lausanne	1003	46.596535	6.533199
9	7	Avenue de Beaulieu 13	1004	Lausanne	1004	46.552595	6.545693
10	8	Chemin des Falaises 20	1022	Chavannes-près-Renens	1022	46.507483	6.578153
11	9	Chemin des Falaises 11	1022	Chavannes-près-Renens	1022	46.585177	6.585234
12	10	Chemin de Bellerive 81	1022	Chavannes-près-Renens	1022	46.571872	6.57594
13	11	Chemin de Montelly 9	1003	Lausanne	1003	46.523477	6.56844
14	12	Avenue de Cour 12	1020	Renens VD	1020	46.543397	6.509844
15	13	Avenue de Beaulieu 22	1004	Lausanne	1004	46.5694	6.590342
16	14	Chemin de Maillefer 46	1003	Lausanne	1003	46.537484	6.514557
17	14	Chemin de Montelly 88	1022	Chavannes-près-Renens	1022	46.579252	6.516998
18	15	Chemin de Montelly 88	1022	Chavannes-près-Renens	1022	46.524083	6.591283
19	15	Rue du Nord 60	1005	Lausanne	1005	46.56379	6.545957
20	16	Chemin de Maillefer 87	1007	Lausanne	1007	46.55466	6.507386
21	17	Chemin des Falaises 55	1008	Jouxtens-Mézery	1008	46.569031	6.545684
22	18	Avenue de Beaulieu 14	1022	Chavannes-près-Renens	1022	46.523721	6.557192
23	19	Avenue de Sévelin 107	1008	Jouxtens-Mézery	1008	46.565823	6.527448
24	20	Chemin de Montelly 96	1003	Lausanne	1003	46.549673	6.590416
25	21	Chemin de Montelly 103	1020	Renens VD	1020	46.535232	6.563662
26	22	Chemin des Falaises 13	1005	Lausanne	1005	46.59034	6.564634
27	23	Avenue de Sévelin 75	1007	Lausanne	1007	46.536486	6.513141
28	24	Avenue de Cour 54	1023	Crissier	1023	46.517564	6.513216
29	25	Chemin de Pierrefleur 65	1023	Crissier	1023	46.591349	6.583047
30	26	Avenue de Provence 38	1007	Lausanne	1007	46.574656	6.533872
31	27	Rue de Genève 97	1004	Lausanne	1004	46.59665	6.586014
32	27	Avenue de Provence 72	1022	Chavannes-près-Renens	1022	46.536578	6.579068
33	28	Avenue de Beaulieu 48	1004	Lausanne	1004	46.567283	6.567234
34	28	Chemin des Falaises 48	1022	Chavannes-près-Renens	1022	46.510835	6.523382
35	29	Chemin de Montelly 29	1023	Crissier	1023	46.564765	6.56354
36	29	Avenue de Cour 39	1007	Lausanne	1007	46.564924	6.511668
37	30	Chemin de Maillefer 64	1003	Lausanne	1003	46.511612	6.52348
38	30	Avenue d'Echallens 59	1005	Lausanne	1005	46.537101	6.594938
39	31	Chemin de Montelly 96	1022	Chavannes-près-Renens	1022	46.57266	6.588541
40	32	Chemin de Montelly 53	1007	Lausanne	1007	46.593905	6.527974
41	33	Avenue de Beaulieu 57	1020	Renens VD	1020	46.595056	6.585545
42	34	Chemin de Pierrefleur 116	1023	Crissier	1023	46.597784	6.535867
43	34	Chemin de Maillefer 25	1022	Chavannes-près-Renens	1022	46.596821	6.594901
44	35	Chemin des Falaises 28	1004	Lausanne	1004	46.56417	6.559715
45	36	Rue du Nord 17	1023	Crissier	1023	46.578698	6.520521
46	36	Chemin de Montelly 28	1020	Renens VD	1020	46.581305	6.5233
47	37	Chemin de Maillefer 110	1003	Lausanne	1003	46.598403	6.598753
48	38	Avenue de Morges 85	1005	Lausanne	1005	46.586645	6.51318
49	39	Chemin de Montelly 42	1020	Renens VD	1020	46.501578	6.526537
50	40	Chemin de Pierrefleur 15	1022	Chavannes-près-Renens	1022	46.574567	6.547625
51	40	Chemin de Pierrefleur 76	1023	Crissier	1023	46.510905	6.550384
52	41	Avenue de Cour 101	1003	Lausanne	1003	46.590875	6.56589
53	42	Avenue de Sévelin 62	1003	Lausanne	1003	46.58473	6.542627
54	43	Avenue de Morges 116	1007	Lausanne	1007	46.508079	6.56083
55	43	Rue de Genève 36	1004	Lausanne	1004	46.562432	6.558536
56	44	Chemin de Montelly 68	1022	Chavannes-près-Renens	1022	46.52949	6.550555
57	45	Chemin des Falaises 84	1004	Lausanne	1004	46.587771	6.555134
58	46	Avenue de Beaulieu 114	1022	Chavannes-près-Renens	1022	46.522849	6.533893
59	47	Avenue de Cour 13	1022	Chavannes-près-Renens	1022	46.531255	6.531252
60	48	Chemin des Falaises 119	1005	Lausanne	1005	46.547427	6.509122
61	49	Avenue de Morges 96	1022	Chavannes-près-Renens	1022	46.57388	6.581177
62	49	Chemin de Montelly 72	1003	Lausanne	1003	46.556168	6.567001
63	50	Avenue de Cour 7	1022	Chavannes-près-Renens	1022	46.59684	6.560041
64	51	Rue de Genève 85	1020	Renens VD	1020	46.548219	6.584727
65	52	Avenue de Morges 98	1023	Crissier	1023	46.527857	6.522616
66	53	Chemin de Montelly 119	1003	Lausanne	1003	46.565783	6.569347
67	54	Avenue de Cour 98	1008	Jouxtens-Mézery	1008	46.530898	6.533982
68	54	Rue de Genève 112	1003	Lausanne	1003	46.514325	6.565734
69	55	Avenue de Morges 96	1003	Lausanne	1003	46.553048	6.537619
70	55	Chemin de Bellerive 21	1007	Lausanne	1007	46.537005	6.57216
71	56	Avenue de Sévelin 20	1004	Lausanne	1004	46.515741	6.561784
72	57	Avenue de Beaulieu 85	1008	Jouxtens-Mézery	1008	46.542401	6.560708
73	58	Avenue de Provence 66	1020	Renens VD	1020	46.511382	6.542991
74	59	Chemin de Pierrefleur 86	1007	Lausanne	1007	46.530842	6.522052
75	60	Avenue de Sévelin 27	1003	Lausanne	1003	46.530142	6.521123
76	61	Chemin de Maillefer 42	1008	Jouxtens-Mézery	1008	46.511998	6.549739
77	61	Rue de Genève 17	1022	Chavannes-près-Renens	1022	46.538021	6.570367
78	62	Avenue de Morges 51	1023	Crissier	1023	46.586176	6.50423
79	63	Chemin de Bellerive 74	1004	Lausanne	1004	46.542928	6.540442
80	63	Chemin de Maillefer 15	1022	Chavannes-près-Renens	1022	46.540503	6.59662
81	64	Avenue de Cour 118	1007	Lausanne	1007	46.536185	6.543671
82	64	Rue du Nord 56	1004	Lausanne	1004	46.558887	6.552396
83	65	Avenue de Cour 44	1008	Jouxtens-Mézery	1008	46.522157	6.577912
84	66	Chemin de Pierrefleur 66	1004	Lausanne	1004	46.51939	6.577623
85	66	Avenue de Cour 105	1023	Crissier	1023	46.564544	6.514769
86	67	Rue du Nord 23	1008	Jouxtens-Mézery	1008	46.56024	6.576022
87	67	Rue de Genève 99	1004	Lausanne	1004	46.562795	6.546395
88	68	Chemin des Falaises 119	1007	Lausanne	1007	46.588205	6.564299
89	69	Chemin des Falaises 41	1023	Crissier	1023	46.515096	6.506829
90	70	Avenue de Provence 36	1008	Jouxtens-Mézery	1008	46.559142	6.535194
91	71	Avenue de Beaulieu 5	1007	Lausanne	1007	46.505689	6.58317
92	71	Chemin des Falaises 111	1004	Lausanne	1004	46.597737	6.50903
93	72	Avenue de Beaulieu 75	1022	Chavannes-près-Renens	1022	46.555432	6.579182
94	73	Avenue de Provence 74	1007	Lausanne	1007	46.565184	6.532153
95	74	Avenue de Sévelin 58	1005	Lausanne	1005	46.51035	6.589913
96	75	Chemin de Pierrefleur 83	1004	Lausanne	1004	46.517256	6.524774
97	76	Chemin de Pierrefleur 67	1007	Lausanne	1007	46.560981	6.53639
98	77	Avenue d'Echallens 100	1022	Chavannes-près-Renens	1022	46.533837	6.559789
99	78	Avenue de Morges 43	1023	Crissier	1023	46.509451	6.567838
